event_start,setpoint,T_start,T_out_window,B3_lead_h,B3_feasible,B3_T_deadline,B3_on_time,B1_T_deadline,B1_on_time,E_B1_kwh,E_B3_kwh,kwh_saved
2026-03-30 04:30:00,21.0,16.82,1.45,3.83,True,20.56,True,18.89,False,53.3,32.9,20.4
2026-03-31 04:30:00,21.0,17.52,1.76,3.17,True,20.57,True,19.29,False,83.4,32.9,50.5
2026-04-01 04:30:00,21.0,16.81,1.85,3.83,True,20.55,True,18.74,False,95.1,32.9,62.2
2026-04-02 04:30:00,21.0,17.03,1.82,3.58,True,20.51,True,17.03,False,157.1,32.9,124.2
2026-04-03 04:30:00,21.0,15.5,4.53,5.0,True,20.51,True,18.28,False,154.8,32.9,121.9
2026-04-04 04:30:00,21.0,15.93,9.82,4.67,True,20.56,True,18.43,False,127.1,32.9,94.2
2026-04-05 04:30:00,21.0,15.92,6.02,4.67,True,20.55,True,18.51,False,117.1,32.9,84.2
